paper_id,material_id,material_formula,matched_as,ea_type,raw_value,normalized_value,unit,confidence,page,section,sentence,source_type
Article 00.pdf,NONE,NONE,Activation Energy,unspecified,"('0.6', 'eV')",0.6 eV,eV,0.5,3,Methods,"It can be seen that the energy barriers are about 3.60 and 0.51 eV for a and c axis directions, respectively, which are a little lower than the LDA results ~4.2 and 0.6 eV!.",Text
Article 00.pdf,MAT_1,LiFePO4,Migration Barrier,unspecified,"('1.5', 'eV')",1.5 eV,eV,0.6,1,Metadata/Header,"The calculations show that the energy barriers running along the c axis are about 0.6, 1.2, and 1.5 eV for LiFePO4 , FePO4 , and Li0.5FePO4 , respectively.",Text
Article 00.pdf,NONE,NONE,Migration Barrier,unspecified,"('0.51', 'eV')",0.51 eV,eV,0.5,3,Methods,"It can be seen that the energy barriers are about 3.60 and 0.51 eV for a and c axis directions, respectively, which are a little lower than the LDA results ~4.2 and 0.6 eV!.",Text
Article 11.pdf,MAT_11,Li7La3Zr2O12,Activation Energy,unspecified,"('0.48', 'eV')",0.48 eV,eV,0.75,6,Methods,"Classical MD simulations123 found that the Li distribution on tetrahedral and octahedral sites in cubic LLZO just above the phase transition temperature closely resembles the ordered distribution in tetragonal LLZO, and that the network of partially occupied sites strongly contributes to high conductivity with an activation energy (Eact) of 0.48 eV. An unsupervised landmark analysis133 was used to detect Li-ion jumps in MD simulations of LLZO.",Text
Article 11.pdf,NONE,NONE,Activation Energy,unspecified,"('0.3', 'eV')",0.3 eV,eV,0.65,9,Methods,"These stud- ies largely identify structural features and compositions that promote fast-ion behaviour, which is typically a room-temperature conductivity of >1 mS cm–1 and an activation energy of <0.3 eV. Design strategies for fast-ion transport have traditionally focused on minimizing cation coordination changes in transport pathways.",Text
Article 11.pdf,MAT_14,Li3Zr2Si2PO12,Migration Barrier,unspecified,"('0.27', 'eV')",0.27 eV,eV,0.15,8,Methods,"For example, these methods revealed that Li-ion transport in LATP is dominated by concerted migrations of multiple ions with a low energy barrier of 0.27 eV (ref. 130) (Fig. 4b) and were used to investigate the influence of undercoordinated Li ions on the ionic conductivity of Li3Zr2Si2PO12 (ref. 150).",Text
AI-Driven Rational Design of Solid-State Electrolytes .pdf,NONE,NONE,Activation Energy,unspecified,"('159', 'meV')",0.159 eV,eV,0.5,15,Methods,"The blue line corresponds to the rate constant k1 for the reaction from the LLZ phase to the Li phase, and the red line represents the rate constant k2 for the opposite reaction; the slopes of the Arrhenius plots were used to measure the activation energies consistent to k1 and k2 (88 and 159 meV) accordingly.",Text
AI-Driven Rational Design of Solid-State Electrolytes .pdf,NONE,NONE,Migration Barrier,unspecified,"('0.16', 'eV')",0.16 eV,eV,0.5,8,Introduction,"along (001) in the γ−phase had a diffusion barrier of 0.16 eV, whereas the knock−off diffusion along (010) in the ꞵ−phase had a diffusion barrier of 0.08 eV. Reproduced with permission",Text
AI-Driven Rational Design of Solid-State Electrolytes .pdf,NONE,NONE,Migration Barrier,unspecified,"('0.08', 'eV')",0.08 eV,eV,0.5,8,Introduction,"along (001) in the γ−phase had a diffusion barrier of 0.16 eV, whereas the knock−off diffusion along (010) in the ꞵ−phase had a diffusion barrier of 0.08 eV. Reproduced with permission",Text
Article 1.pdf,NONE,NONE,Activation Energy,unspecified,"('0.356', 'eV')",0.356 eV,eV,0.65,5,Discussion,"The vertical dashed line shows the activation energy at 0.356 eV, which corresponds to one order of magnitude change of conductivity when the temperature drops from 25 to −20 °C very high oxidation limit of >6 V, which may be ideal for stable protection of high-voltage cathodes.",Text
