paper_id,material_id,material_formula,category,property_name,value,unit,ea_type,confidence,extraction_method,sentence,page
Article 00.pdf,MAT_1,LiFePO4,DFT,Functional,GGA,NONE,NONE,0.75,proximity,shows the energy barriers along a and c directions in LiFePO4 obtained from GGA. 104303-3,3
Article 00.pdf,MAT_1,LiFePO4,DFT,Functional,LDA,NONE,NONE,0.75,dependency_parse,"As the energy barrier along c direction for LiFePO4 is lower than that of FePO4 and Li0.5FePO4 , the diffusion coefficient will be higher, which is consistent with Prosini’s experimental results.6 To test the reliability of the LDA obtained energy barriers, Fig. 2~d! shows the GGA results of LiFePO4 when the Li ion is pushed to move along the.",3
Article 00.pdf,MAT_1,LiFePO4,DFT,Functional,GGA,NONE,NONE,0.75,dependency_parse,"As the energy barrier along c direction for LiFePO4 is lower than that of FePO4 and Li0.5FePO4 , the diffusion coefficient will be higher, which is consistent with Prosini’s experimental results.6 To test the reliability of the LDA obtained energy barriers, Fig. 2~d! shows the GGA results of LiFePO4 when the Li ion is pushed to move along the.",3
Article 00.pdf,MAT_1,LiFePO4,DFT,Software,crystal,NONE,NONE,0.75,proximity,of the four species in LiFePO4 crystal as a function of time.,4
Article 00.pdf,MAT_1,LiFePO4,SYNTHESIS,Method,Solid State,NONE,NONE,0.6,proximity,"First-principles study of Li ion diffusion in LiFePO4 Chuying Ouyang,1,2 Siqi Shi,1 Zhaoxiang Wang,1 Xuejie Huang,1 and Liquan Chen1,* 1Laboratory for Solid State Ionics, Institute of Physics, Chinese Academy of Sciences, P.O. Box 603, Beijing 100080, China 2Physics Department, Jiangxi Normal University, Nanchang 330027, China ~Received 12 November 2003; revised manuscript received 16 December 2003; published 30 March 2004!",1
Article 00.pdf,MAT_1,LiFePO4,ELECTROCHEMICAL,Migration_Barrier,1.5 eV,eV,unspecified,0.6,dependency_parse,"The calculations show that the energy barriers running along the c axis are about 0.6, 1.2, and 1.5 eV for LiFePO4 , FePO4 , and Li0.5FePO4 , respectively.",1
Article 00.pdf,MAT_1,LiFePO4,DFT,Software,crystal,NONE,NONE,0.6,proximity,The above considerations are all based on the constrained motion of singleLi ions within the LiFePO4 crystal.,3
Article 00.pdf,MAT_1,LiFePO4,CHARACTERIZATION,Technique,GITT,NONE,NONE,0.25,proximity,Prosini et al.6 have de- termined the diffusion coefficient of lithium in LiFePO4 as a function of the lithium concentration using the galvanostatic intermittent titration technique ~GITT!,1
Article 10.pdf,MAT_10,BPN2,ML,Algorithm,neural network,NONE,NONE,0.99,proximity,Fig. 7   a Model structure of backpropagation neural network (BPNN),14
Article 10.pdf,MAT_20,H2S,DFT,SOC,SOC,NONE,NONE,0.99,proximity,"b, c SOC estimation results and SOC errors under SDT [102].",15
Article 10.pdf,MAT_20,H2S,DFT,SOC,SOC,NONE,NONE,0.99,proximity,"b, c SOC estimation results and SOC errors under SDT [102].",15
Article 10.pdf,MAT_15,HN,DFT,SOC,SOC,NONE,NONE,0.95,proximity,The results showed that the iFA-based TDNN obtained accurate SOC https://doi.org/10.1007/s40820-025-01797-y ©,14
Article 10.pdf,MAT_2,HSO,DFT,Software,Gaussian,NONE,NONE,0.95,proximity,[109] extracted four impor- tant features by analyzing the partial incremental capacity and combined Gaussian process regression with nonlin- ear regression to predict the battery’s SOH.,16
Article 10.pdf,MAT_2,HSO,ML,Algorithm,Gaussian process,NONE,NONE,0.95,proximity,[109] extracted four impor- tant features by analyzing the partial incremental capacity and combined Gaussian process regression with nonlin- ear regression to predict the battery’s SOH.,16
Article 10.pdf,MAT_9,Li7La3Zr2O12,STRUCTURAL,Crystal_System,cubic,NONE,NONE,0.85,proximity,Fig. 6   a 400 K simulation of the cubic LLZO as shown in the clustering scheme [83].  ,10
Article 10.pdf,MAT_10,BPN2,DFT,SOC,SOC,NONE,NONE,0.8,proximity,[97] developed a BPNN for estimating the SOC of batteries.,13
Article 10.pdf,MAT_11,HWS,ML,RMSE,3.98,NONE,NONE,0.8,proximity,"The RMSE was reduced to 3.98% at −20 °C NEDC, 3.62% at 10 °C NEDC, and 1.68% at 35 °C HSW (Fig. 7c).",13
Article 10.pdf,MAT_12,UHSF,DFT,SOC,SOC,NONE,NONE,0.8,proximity,The range SOC error of this model for the Federal Urban Driving Schedule (FUDS) was between 3.7% and 4.7% (Fig.,13
Article 10.pdf,MAT_12,UHSF,DFT,SOC,SOC,NONE,NONE,0.8,proximity,"d, e SOC estimation results and SOC error for FUDS cycle 0 °C",14
Article 10.pdf,MAT_12,UHSF,DFT,SOC,SOC,NONE,NONE,0.8,proximity,"d, e SOC estimation results and SOC error for FUDS cycle 0 °C",14
Article 10.pdf,MAT_13,PSO,DFT,SOC,SOC,NONE,NONE,0.8,dependency_parse,"f, g SOC estimation results and SOC errors based on PSO under FUDS cycle",14
Article 10.pdf,MAT_13,PSO,DFT,SOC,SOC,NONE,NONE,0.8,dependency_parse,"f, g SOC estimation results and SOC errors based on PSO under FUDS cycle",14
Article 10.pdf,MAT_10,BPN2,DFT,SOC,SOC,NONE,NONE,0.8,proximity,"i SOC estimation results and errors under the NEDC of BPNN, LMBP, LMMBP and EK [101].",14
Article 10.pdf,MAT_14,BP,ML,Algorithm,neural network,NONE,NONE,0.8,proximity,[101] proposed a multi- hidden-layer BP neural network (LMMBP) trained based on the Levenberg-Marquardt (L-M) algorithm.,14
Article 10.pdf,MAT_15,HN,ML,Algorithm,neural network,NONE,NONE,0.8,proximity,"In addition, the time delay neural network (TDNN) (Fig. 8a) is a supervised ML algorithm with a special neu- ron connection, which can handle the delay information in time series data.",14
Article 10.pdf,MAT_16,WN2,ML,Algorithm,neural network,NONE,NONE,0.8,proximity,"Furthermore, the wavelet neural network (WNN) integrates wavelet analysis with traditional neural networks.",14
Article 10.pdf,MAT_17,H2W,DFT,SOC,SOC,NONE,NONE,0.8,dependency_parse,"[103] combined the DWT with an L-M trained adaptive WNN to create a DWTLMBPNN for lithium-ion battery SOC estimation, achieving an MAE of 0.59% and a maximum error of 3.13% (Fig.",14
Article 10.pdf,MAT_17,H2W,ML,MAE,0.59,NONE,NONE,0.8,dependency_parse,"[103] combined the DWT with an L-M trained adaptive WNN to create a DWTLMBPNN for lithium-ion battery SOC estimation, achieving an MAE of 0.59% and a maximum error of 3.13% (Fig.",14
Article 10.pdf,MAT_18,BHN,DFT,SOC,SOC,NONE,NONE,0.8,dependency_parse,[104] combined the DBN (Fig. 8g) and KF to create a hybrid model for dynamic lithium-ion battery SOC estimation.,14
Article 10.pdf,MAT_18,BHN,DFT,SOC,SOC,NONE,NONE,0.8,dependency_parse,"The DBN extracts parameter–SOC relation- ships, and the KF reduces measurement noise.",14
Article 10.pdf,MAT_21,US6,DFT,SOC,SOC,NONE,NONE,0.8,proximity,"j, k SOC estimation under US06 at 0 °C and RMSE error values of each comparison model [105].",15
Article 10.pdf,MAT_21,US6,ML,RMSE,105,NONE,NONE,0.8,proximity,"j, k SOC estimation under US06 at 0 °C and RMSE error values of each comparison model [105].",15
Article 10.pdf,MAT_22,CNF,DFT,SOC,SOC,NONE,NONE,0.8,proximity,[105] proposed a fully convolutional network (FCN) for SOC estimation.,15
Article 10.pdf,MAT_1,EsS2,SYNTHESIS,Method,solid-state,NONE,NONE,0.75,proximity,"In the aspect of material screening, identifying an ideal combination of solid-state electrolytes (SSEs) and electrode materials demands a comprehensive and profound exploration and screening of a voluminous and diverse material system [22].",2
Article 10.pdf,MAT_2,HSO,DFT,SOC,SOC,NONE,NONE,0.75,proximity,"While machine learning has demonstrated transformative potential in traditional lithium-ion BMS through SOC/SOH estima- tion, its application to solid-state systems remains nascent.",11
Article 10.pdf,MAT_2,HSO,SYNTHESIS,Method,solid-state,NONE,NONE,0.75,proximity,"While machine learning has demonstrated transformative potential in traditional lithium-ion BMS through SOC/SOH estima- tion, its application to solid-state systems remains nascent.",11
Article 10.pdf,MAT_2,HSO,DFT,SOC,SOC,NONE,NONE,0.6,proximity,"However, the accurate determination and prediction of core indicators such as the SOC [30], state of health (SOH)",2
Article 10.pdf,MAT_3,N2,ML,Algorithm,support vector machine,NONE,NONE,0.6,proximity,"(2025) 17:287 Page 3 of 31  287 techniques such as support vector machine (SVM), relevance vector machine (RVM), and neural network (NN), with the root-mean-square error (RMSE) and mean absolute error (MAE) being less than 0.14% and 0.36%, respectively.",3
Article 10.pdf,MAT_3,N2,ML,Algorithm,SVM,NONE,NONE,0.6,proximity,"(2025) 17:287 Page 3 of 31  287 techniques such as support vector machine (SVM), relevance vector machine (RVM), and neural network (NN), with the root-mean-square error (RMSE) and mean absolute error (MAE) being less than 0.14% and 0.36%, respectively.",3
Article 10.pdf,MAT_3,N2,ML,Algorithm,neural network,NONE,NONE,0.6,proximity,"(2025) 17:287 Page 3 of 31  287 techniques such as support vector machine (SVM), relevance vector machine (RVM), and neural network (NN), with the root-mean-square error (RMSE) and mean absolute error (MAE) being less than 0.14% and 0.36%, respectively.",3
Article 10.pdf,MAT_3,N2,ML,MAE,0.14,NONE,NONE,0.6,proximity,"(2025) 17:287 Page 3 of 31  287 techniques such as support vector machine (SVM), relevance vector machine (RVM), and neural network (NN), with the root-mean-square error (RMSE) and mean absolute error (MAE) being less than 0.14% and 0.36%, respectively.",3
Article 10.pdf,MAT_3,N2,ML,RMSE,0.14,NONE,NONE,0.6,proximity,"(2025) 17:287 Page 3 of 31  287 techniques such as support vector machine (SVM), relevance vector machine (RVM), and neural network (NN), with the root-mean-square error (RMSE) and mean absolute error (MAE) being less than 0.14% and 0.36%, respectively.",3
Article 10.pdf,MAT_2,HSO,DFT,SOC,SOC,NONE,NONE,0.6,proximity,"This article will deeply explore the enabling effects of AI in solid-state batteries (Fig. 1) around five key directions: material screening, SOC estimation, SOH estimation, RUL prediction, and battery capacity estimation.",3
Article 10.pdf,MAT_2,HSO,SYNTHESIS,Method,solid-state,NONE,NONE,0.6,proximity,"This article will deeply explore the enabling effects of AI in solid-state batteries (Fig. 1) around five key directions: material screening, SOC estimation, SOH estimation, RUL prediction, and battery capacity estimation.",3
Article 10.pdf,MAT_4,Li1Ti0.2Mn0.2Fe0.2Co0.2Ni0.2O2,ML,Algorithm,random forest,NONE,NONE,0.6,proximity,"[55] applied random forest (RF) models to ana- lyze > 2,000 MP entries, correlating structural features with energy density to pinpoint ­LiNi0.2Mn0.2Co0.2Fe0.2Ti0.2O2 as an optimal high-entropy cathode, achieving enhanced sta- bility and electrochemical performance.",5
Article 10.pdf,MAT_5,Si,ML,Training_Size,40,NONE,NONE,0.6,dependency_parse,"mentarily, in an attempt to tackle the issue of the low rate- performance of nanostructured silicon as a high-capacity anode material for lithium-ion batteries and to gain in-depth insights into the factors governing lithium diffusion within amorphous lithium–silicon alloys, they leveraged a potential trained on 40,000 + ab initio calculations and visualized the delithiation process of lithium–silicon nanoparticles for the first time.",5
Article 10.pdf,MAT_6,Li14Zn(GeO4)4,ML,Algorithm,SVM,NONE,NONE,0.6,proximity,[71] combined the theoretical and experimental data- sets and employed the SVM method to directly evaluate the ionic conductivity of ­Li8−cAaBbO4 LISICON.,7
Article 10.pdf,MAT_8,Li3PS4,ML,Descriptor,structural fingerprint,NONE,NONE,0.6,proximity,"DL interatomic potential simulations have elucidated the “soft” lithium-hopping behavior induced by structural disorder in ­Li3PS4, establishing a machine learning-derived structural fingerprint (“softness”) to quantify ion migration dynamics",9
Article 10.pdf,MAT_9,Li7La3Zr2O12,STRUCTURAL,Crystal_System,cubic,NONE,NONE,0.6,proximity,"[83] spati- otemporal analysis of Li+ diffusion in LLZO using density- based trajectory clustering, which uncovered uncorrelated Poisson-like migration in cubic phases (Fig. 6a).",9
Article 10.pdf,MAT_9,Li7La3Zr2O12,SYNTHESIS,Method,solid-state,NONE,NONE,0.6,proximity,"This research achievement provides valu- able theoretical basis and practical guidance for experimen- tal researchers to screen appropriate dopants in LLZO, thus stabilizing the lithium-metal anode in solid-state batteries",10
Article 10.pdf,MAT_10,BPN2,ML,Algorithm,neural network,NONE,NONE,0.6,proximity,"The backpropagation neural network (BPNN), a type of mul- tilayer feedforward neural network, composed of an input layer, hidden layers, and an output layer.",11
Article 10.pdf,MAT_10,BPN2,ML,Algorithm,neural network,NONE,NONE,0.6,proximity,"The backpropagation neural network (BPNN), a type of mul- tilayer feedforward neural network, composed of an input layer, hidden layers, and an output layer.",11
Article 10.pdf,MAT_14,BP,ML,Algorithm,neural network,NONE,NONE,0.6,proximity,"Then, the experi- mental data of BA-ELM, ELM, Elman, BP, radial basis function (RBF), and generalized regression neural network models are compared.",19
Article 10.pdf,MAT_6,Li14Zn(GeO4)4,DFT,Software,Crystal,NONE,NONE,0.6,proximity,"H.Y. Hong, Crystal structure and ionic conductivity of ­Li14Zn(GeO4)4 and other new ­Li+ superionic conductors.",30
Article 10.pdf,MAT_10,BPN2,DFT,SOC,SOC,NONE,NONE,0.45,proximity,"To fur- ther enhance the accuracy of BPNN-based SOC estimation and leverage real-time correction capabilities, Zhang et al.",13
Article 10.pdf,MAT_7,EsS2I,SYNTHESIS,Method,solid-state,NONE,NONE,0.25,proximity,"In response to the challenge of screening inorganic solid-state electrolytes (ISSEs), Chen et al. proposed a ML-assisted hierarchical screening strategy.",7
Speeding up the development of solid state electrolyte by machine learning.pdf,MAT_3,Li,STRUCTURAL,Crystal_System,cubic,NONE,NONE,0.75,dependency_parse,"They also used Adaptive Boosting (AdaBoost), Least Absolute Shrinkage and Selection Operator (LASSO), and Bayesian ridge regression to predict the elastic constants of cubic crystal com­ pounds, identifying more than 20 candidates for inhibiting dendrite growth in lithium metal and four types of SSEs based on mechanical anisotropy at the interface.",3
Speeding up the development of solid state electrolyte by machine learning.pdf,MAT_3,Li,DFT,Software,crystal,NONE,NONE,0.75,dependency_parse,"They also used Adaptive Boosting (AdaBoost), Least Absolute Shrinkage and Selection Operator (LASSO), and Bayesian ridge regression to predict the elastic constants of cubic crystal com­ pounds, identifying more than 20 candidates for inhibiting dendrite growth in lithium metal and four types of SSEs based on mechanical anisotropy at the interface.",3
Speeding up the development of solid state electrolyte by machine learning.pdf,MAT_1,EsS2,ELECTROCHEMICAL,Cycle_Life,200,NONE,NONE,0.6,proximity,"The main reason is that the balance of perfor­ mance depends on various parameters, and many known SSEs are limited by one or several key properties, such as relatively low ionic conductivity(σ<10−3 S/cm), shorter cycle life (<200 cycles), or poor interface compatibility (poor mechanical properties, mismatched coef­ ficients of thermal expansion, etc)",1
Speeding up the development of solid state electrolyte by machine learning.pdf,MAT_2,Li3PO4,DFT,Software,crystal,NONE,NONE,0.6,proximity,[46] used a combination of ML potentials and genetic algorithm (GA) to determine doped near-ground state crystal structures and used these structures to estimate the defect formation energy for N insertion into Li3PO4.,3
Speeding up the development of solid state electrolyte by machine learning.pdf,MAT_1,EsS2,ML,Algorithm,XGBoost,NONE,NONE,0.6,dependency_parse,"More than 20,000 potential polymer SSEs were screened using neural net­ works and XGBoost algorithms, the ionic conductivity values of thou­ sands of candidate polymer SSEs were predicted, and further synthesis and characterization were performed.",3
Speeding up the development of solid state electrolyte by machine learning.pdf,MAT_1,EsS2,ML,Algorithm,SVM,NONE,NONE,0.6,proximity,"[56] used SVM for transfer learning, identifying 20 billion lithium-containing candidates, some of which could be potential SSEs.",3
Speeding up the development of solid state electrolyte by machine learning.pdf,MAT_1,EsS2,DFT,Software,crystal,NONE,NONE,0.6,proximity,"Building an SSE-related database needs to contain enough material property information, such as chemical composition, crystal structure, lattice constants, kinetic and thermodynamic properties, etc., to com­ prehensively evaluate the material properties of SSEs.",7
Speeding up the development of solid state electrolyte by machine learning.pdf,MAT_4,NF,ML,Algorithm,Neural Network,NONE,NONE,0.6,proximity,FFNN Feedforward Neural Network Easy to train and implement.,8
Speeding up the development of solid state electrolyte by machine learning.pdf,MAT_5,BN2,ML,Algorithm,Neural Network,NONE,NONE,0.6,proximity,BNN Bayesian Neural Network Provides uncertainty estimates.,8
Speeding up the development of solid state electrolyte by machine learning.pdf,MAT_1,EsS2,ML,Algorithm,deep learning,NONE,NONE,0.6,proximity,"Currently, in the field of ML applied to SSEs, there is a trend to follow the application in other materials, choosing to generate their own feature sets from a large amount of unstructured initial feature sets through deep learning methods.",8
Speeding up the development of solid state electrolyte by machine learning.pdf,MAT_1,EsS2,ML,Algorithm,deep learning,NONE,NONE,0.6,proximity,"Nevertheless, deep learning has already shown certain potential in SSEs.",8
Speeding up the development of solid state electrolyte by machine learning.pdf,MAT_1,EsS2,DFT,Software,Crystal,NONE,NONE,0.6,proximity,"For example, Crystal Graph Convolutional Neural Networks (CGCNN) have been used to predict the mechanical properties of SSEs [97].",8
Speeding up the development of solid state electrolyte by machine learning.pdf,MAT_1,EsS2,ML,Algorithm,CGCNN,NONE,NONE,0.6,proximity,"For example, Crystal Graph Convolutional Neural Networks (CGCNN) have been used to predict the mechanical properties of SSEs [97].",8
Speeding up the development of solid state electrolyte by machine learning.pdf,MAT_1,EsS2,ML,Algorithm,deep learning,NONE,NONE,0.6,proximity,"Simple linear models may be sufficient for most materials, but SSEs with complex structures may also require more sophisticated models, such as deep learning.",9
Speeding up the development of solid state electrolyte by machine learning.pdf,MAT_6,N2,ML,Algorithm,linear regression,NONE,NONE,0.4,proximity,"Sun et al. used four models: linear regression, random forest (RF), neural networks (NN), and extreme gradient boosting (XGBoost), for pre­ dicting the X-ray photoelectron spectra at SSE interfaces [106], as shown in Fig. 8 (best model only).",10
Speeding up the development of solid state electrolyte by machine learning.pdf,MAT_6,N2,ML,Algorithm,random forest,NONE,NONE,0.4,proximity,"Sun et al. used four models: linear regression, random forest (RF), neural networks (NN), and extreme gradient boosting (XGBoost), for pre­ dicting the X-ray photoelectron spectra at SSE interfaces [106], as shown in Fig. 8 (best model only).",10
Speeding up the development of solid state electrolyte by machine learning.pdf,MAT_6,N2,ML,Algorithm,gradient boosting,NONE,NONE,0.4,proximity,"Sun et al. used four models: linear regression, random forest (RF), neural networks (NN), and extreme gradient boosting (XGBoost), for pre­ dicting the X-ray photoelectron spectra at SSE interfaces [106], as shown in Fig. 8 (best model only).",10
Speeding up the development of solid state electrolyte by machine learning.pdf,MAT_6,N2,ML,Algorithm,XGBoost,NONE,NONE,0.4,proximity,"Sun et al. used four models: linear regression, random forest (RF), neural networks (NN), and extreme gradient boosting (XGBoost), for pre­ dicting the X-ray photoelectron spectra at SSE interfaces [106], as shown in Fig. 8 (best model only).",10
Speeding up the development of solid state electrolyte by machine learning.pdf,MAT_7,BN,ML,Algorithm,gradient boosting,NONE,NONE,0.25,dependency_parse,"Kang et al. employed nine different ML models, in­ cluding naive Bayes (NB), logistic regression, decision trees (DT), K- nearest neighbors (KNN), RF, gradient boosting (GB), stochastic gra­ dient descent (SGD), Light Gradient Boosting Machine (LGBM), and XGBoost, to screen SSEs for lithium-ion batteries [108].",10
Speeding up the development of solid state electrolyte by machine learning.pdf,MAT_1,EsS2,ML,Algorithm,Gradient Boosting,NONE,NONE,0.25,dependency_parse,"Kang et al. employed nine different ML models, in­ cluding naive Bayes (NB), logistic regression, decision trees (DT), K- nearest neighbors (KNN), RF, gradient boosting (GB), stochastic gra­ dient descent (SGD), Light Gradient Boosting Machine (LGBM), and XGBoost, to screen SSEs for lithium-ion batteries [108].",10
