paper_id,table_number,caption,page,section,headers,rows,material_column
Article 10.pdf,1,NONE,1,Results,"[""IGHLIGHTS""]","[{""IGHLIGHTS"": ""The latest advancements in the application of machine learning (ML) for the screening of solid-state battery materials are reviewed.""}, {""IGHLIGHTS"": ""The achievements of various ML algorithms in predicting different performances of the battery management system are discussed.""}, {""IGHLIGHTS"": ""Future challenges and perspectives of artificial intelligence in solid-state battery are discussed.""}]",NONE
Article 11.pdf,1,NONE,2,Results,"[""Column""]",[],NONE
Article 11.pdf,1,NONE,4,Results,"[""Li 7"", ""La 3"", ""Zr 2""]",[],NONE
Article 11.pdf,2,NONE,4,Results,"[""Li 10"", ""Ge"", ""P 2""]",[],NONE
Article 11.pdf,3,NONE,4,Results,"[""Li L 0.33"", ""a 0.66"", ""Ti""]",[],NONE
Article 11.pdf,4,NONE,4,Results,"[""Li 1."", ""AI 3 0.3"", ""Ti (P 1.7""]",[],NONE
Article 11.pdf,5,NONE,4,Results,"[""Li P 6"", ""S 5"", ""Cl""]",[],NONE
Article 11.pdf,6,NONE,4,Results,"[""Na"", ""Al 11""]",[],NONE
Article 11.pdf,7,NONE,4,Results,"[""a 3"", ""Zr 2"", ""SiP 2""]",[],NONE
Article 11.pdf,8,NONE,4,Results,"[""Na 3"", ""P""]",[],NONE
Article 11.pdf,9,NONE,4,Results,"[""Na 1"", ""Sn 1 2""]",[],NONE
Article 11.pdf,1,NONE,5,Results,"[""Column"", ""Column_2"", ""Column_3""]",[],NONE
Article 11.pdf,2,NONE,5,Results,"[""Column""]",[],NONE
Article 11.pdf,1,NONE,10,Results,"[""High-throughput calculations NaMM' (AO)(BO) x y 2–y 4z 43–z M, M': Mg2+, Ca2+, Zn2+, Al3+, Sc3+, Ga3+, In3+, Y3+, La3+, Zr4+, Hf4+, Ti4+, Sn4+, Ge4+, Ta5+, Nb5+ AO, BO: SiO4−, PO3−, SO2− 4 4 4 4 4"", ""High-throughput calculations NaMM' (AO)(BO) x y 2–y 4z 43–z M, M': Mg2+, Ca2+, Zn2+, Al3+, Sc3+, Ga3+, In3+, Y3+, La3+, Zr4+, Hf4+, Ti4+, Sn4+, Ge4+, Ta5+, Nb5+ AO, BO: SiO4−, PO3−, SO2− 4 4 4 4 4_2""]",[],NONE
Article 11.pdf,2,NONE,10,Results,"[""13"", ""13_2"", ""13_3"", ""13_4"", ""13_5"", ""13_6"", ""13_7"", ""13_8"", ""13_9"", ""13_10"", ""13_11"", ""13_12"", ""13_13"", ""13_14"", ""13_15"", ""13_16""]","[{""13"": ""12"", ""13_2"": ""7"", ""13_3"": """", ""13_4"": """", ""13_5"": """", ""13_6"": """", ""13_7"": """", ""13_8"": """", ""13_9"": """", ""13_10"": """", ""13_11"": """", ""13_12"": """", ""13_13"": """", ""13_14"": """", ""13_15"": """", ""13_16"": """"}, {""13"": ""14"", ""13_2"": ""3"", ""13_3"": ""6"", ""13_4"": """", ""13_5"": """", ""13_6"": """", ""13_7"": """", ""13_8"": """", ""13_9"": """", ""13_10"": """", ""13_11"": """", ""13_12"": """", ""13_13"": """", ""13_14"": """", ""13_15"": """", ""13_16"": """"}, {""13"": ""9"", ""13_2"": ""9"", ""13_3"": ""17"", ""13_4"": ""7"", ""13_5"": """", ""13_6"": """", ""13_7"": """", ""13_8"": """", ""13_9"": """", ""13_10"": """", ""13_11"": """", ""13_12"": """", ""13_13"": """", ""13_14"": """", ""13_15"": """", ""13_16"": """"}, {""13"": ""9"", ""13_2"": ""3"", ""13_3"": ""6"", ""13_4"": ""14"", ""13_5"": ""3"", ""13_6"": """", ""13_7"": """", ""13_8"": """", ""13_9"": """", ""13_10"": """", ""13_11"": """", ""13_12"": """", ""13_13"": """", ""13_14"": """", ""13_15"": """", ""13_16"": """"}, {""13"": ""28"", ""13_2"": ""23"", ""13_3"": ""20"", ""13_4"": ""8"", ""13_5"": ""20"", ""13_6"": ""1"", ""13_7"": """", ""13_8"": """", ""13_9"": """", ""13_10"": """", ""13_11"": """", ""13_12"": """", ""13_13"": """", ""13_14"": """", ""13_15"": """", ""13_16"": """"}, {""13"": ""9"", ""13_2"": ""5"", ""13_3"": ""7"", ""13_4"": ""3"", ""13_5"": ""5"", ""13_6"": ""15"", ""13_7"": ""3"", ""13_8"": """", ""13_9"": """", ""13_10"": """", ""13_11"": """", ""13_12"": """", ""13_13"": """", ""13_14"": """", ""13_15"": """", ""13_16"": """"}, {""13"": ""6"", ""13_2"": ""4"", ""13_3"": ""9"", ""13_4"": ""6"", ""13_5"": ""9"", ""13_6"": ""4"", ""13_7"": ""2"", ""13_8"": ""1"", ""13_9"": """", ""13_10"": """", ""13_11"": """", ""13_12"": """", ""13_13"": """", ""13_14"": """", ""13_15"": """", ""13_16"": """"}, {""13"": ""9"", ""13_2"": ""4"", ""13_3"": ""8"", ""13_4"": ""6"", ""13_5"": ""5"", ""13_6"": ""14"", ""13_7"": ""4"", ""13_8"": """", ""13_9"": ""3"", ""13_10"": """", ""13_11"": """", ""13_12"": """", ""13_13"": """", ""13_14"": """", ""13_15"": """", ""13_16"": """"}, {""13"": ""3"", ""13_2"": ""4"", ""13_3"": ""3"", ""13_4"": ""5"", ""13_5"": ""3"", ""13_6"": ""3"", ""13_7"": """", ""13_8"": ""2"", ""13_9"": """", ""13_10"": ""1"", ""13_11"": """", ""13_12"": """", ""13_13"": """", ""13_14"": """", ""13_15"": """", ""13_16"": """"}, {""13"": ""4"", ""13_2"": """", ""13_3"": ""11"", ""13_4"": """", ""13_5"": ""10"", ""13_6"": ""3"", ""13_7"": ""4"", ""13_8"": """", ""13_9"": ""1"", ""13_10"": """", ""13_11"": """", ""13_12"": """", ""13_13"": """", ""13_14"": """", ""13_15"": """", ""13_16"": """"}, {""13"": ""3"", ""13_2"": """", ""13_3"": ""12"", ""13_4"": """", ""13_5"": ""11"", ""13_6"": ""4"", ""13_7"": ""5"", ""13_8"": """", ""13_9"": """", ""13_10"": """", ""13_11"": """", ""13_12"": """", ""13_13"": """", ""13_14"": """", ""13_15"": """", ""13_16"": """"}, {""13"": ""15"", ""13_2"": ""10"", ""13_3"": ""7"", ""13_4"": ""3"", ""13_5"": ""9"", ""13_6"": """", ""13_7"": ""5"", ""13_8"": ""1"", ""13_9"": ""3"", ""13_10"": """", ""13_11"": """", ""13_12"": """", ""13_13"": """", ""13_14"": """", ""13_15"": """", ""13_16"": """"}, {""13"": ""16"", ""13_2"": ""9"", ""13_3"": ""15"", ""13_4"": ""2"", ""13_5"": ""12"", ""13_6"": """", ""13_7"": ""9"", ""13_8"": ""1"", ""13_9"": ""6"", ""13_10"": """", ""13_11"": """", ""13_12"": """", ""13_13"": """", ""13_14"": """", ""13_15"": """", ""13_16"": """"}, {""13"": ""2"", ""13_2"": ""1"", ""13_3"": ""2"", ""13_4"": """", ""13_5"": ""1"", ""13_6"": ""3"", ""13_7"": ""3"", ""13_8"": """", ""13_9"": """", ""13_10"": """", ""13_11"": """", ""13_12"": """", ""13_13"": """", ""13_14"": ""2"", ""13_15"": ""1"", ""13_16"": """"}, {""13"": ""4"", ""13_2"": ""2"", ""13_3"": ""6"", ""13_4"": ""1"", ""13_5"": ""6"", ""13_6"": ""1"", ""13_7"": ""2"", ""13_8"": ""1"", ""13_9"": ""2"", ""13_10"": ""1"", ""13_11"": ""1"", ""13_12"": ""1"", ""13_13"": ""1"", ""13_14"": ""1"", ""13_15"": ""2"", ""13_16"": ""3""}]",NONE
