paper_id,filename,title,authors,journal,doi,publication_year,n_materials,n_relations,n_references
Article 00.pdf,Article 00.pdf,First-principles,NONE,NONE,10.1103/PhysRevB.69.104303,2004,3,8,0
Article 10.pdf,Article 10.pdf,Artificial Intelligence Empowers Solid-State Batteries for Material Screening and Performance Evaluation,Sheng Wang,"Nano-Micro Letters, https://doi.org/10.1007/s40820-025-01797-y",10.1007/s40820-025-01797-y,2025,22,48,125
Speeding up the development of solid state electrolyte by machine learning.pdf,Speeding up the development of solid state electrolyte by machine learning.pdf,Speeding up the development of solid state electrolyte by machine learning,Qianyu Hu,"Next Energy, 5 (2024) 100159. doi:10.1016/j.nxener.2024.100159",10.1016/j.nxener.2024.100159,2024,10,28,125
Article 11.pdf,Article 11.pdf,Understanding solid-state battery electrolytes using atomistic modelling and machine learning,Ana C. C. Dutra,"Nature Reviews Materials, doi:10.1038/s41578-025-00817-y",10.1038/s41578-025-00817-y,2025,38,28,219
Smart Materials Prediction- Applying Machine Learning to Lithium Solid-State Electrolyte.pdf,Smart Materials Prediction- Applying Machine Learning to Lithium Solid-State Electrolyte.pdf,Smart Materials Prediction: Applying Machine Learning to Lithium Solid-State Electrolyte,"Qianyu Hu, Kunfeng Chen, Fei Liu, Mengying Zhao, Feng Liang and Dongfeng Xue","Traditionally, the discovery of new materials has often depended on scholars’ computational and experimental experience. The traditional trial-and-error methods require many resources and computing time. Due to new materials’ properties becoming more complex, it is difficult to predict and identify new materials only by general knowledge and experience. Material prediction tools based on machine learning (ML) have been successfully applied to various materials fields; they are beneficial for modeling and accelerating the prediction process for materials that cannot be accurately predicted. However, the obstacles of disciplinary span led to many scholars in materials not having complete knowledge of data-driven materials science methods. This paper provides an overview of the general process of ML applied to materials prediction and uses solid-state electrolytes (SSE) as an example. Recent approaches and specific applications to ML in the materials field and the requirements for building ML models for predicting lithium SSE are reviewed. Finally, some current obstacles to applying ML in materials prediction and prospects are described with the expectation that more materials scholars will be aware of the application of ML in materials prediction.",10.3390/ma15031157,2022,1,3,4
AI-Driven Rational Design of Solid-State Electrolytes .pdf,AI-Driven Rational Design of Solid-State Electrolytes .pdf,AI-Driven Rational Design of Solid-State Electrolytes,NONE,NONE,10.53941/aimat.2026.100012,2026,11,14,116
Article 1.pdf,Article 1.pdf,Unsupervised discovery of solid-state lithium ion conductors,Ying Zhang,"Nature Communications, doi:10.1038/s41467-019-13214-1",10.1038/s41467-019-13214-1,2019,16,5,51
OBELiX- A Curated Dataset of Crystal Structures and Experimentally Measured Ionic Conductivities for Lithium Solid-State Electrolytes.pdf,OBELiX- A Curated Dataset of Crystal Structures and Experimentally Measured Ionic Conductivities for Lithium Solid-State Electrolytes.pdf,Experimentally Measured Ionic Conductivities for,NONE,NONE,NONE,2025,5,11,45
Article 2.pdf,Article 2.pdf,Machine Learning-Assisted Discovery of Solid Li-Ion Conducting Materials,Austin D. Sendek; Ekin D. Cubuk; Evan R. Antoniuk; Gowoon Cheon; Yi Cui; Evan J. Reed,Chem. Mater. 2019.31:342-352,10.1021/acs.chemmater.8b03272,2018,33,18,0
Article 3.pdf,Article 3.pdf,Machine learning drives a new paradigm in inorganic solid-state electrolytes research,Xiang Yin,"Computational Materials Today, 10 (2026) 100051. doi:10.1016/j.commt.2026.100051",10.1016/j.commt.2026.100051,2026,8,11,100
