paper_id,figure_number,caption,page,section,referenced_materials,referenced_properties,referenced_tables,referenced_equations,mentioned_methods
Article 00.pdf,1,FIG. 1. ~Color online! ~a! Crystal structure of,2,Methods,NONE,Software,NONE,NONE,NONE
Article 00.pdf,2,FIG. 2. ~Color online! Energy barriers of three different diffu-,3,Methods,NONE,NONE,NONE,NONE,NONE
Article 00.pdf,2,Fig. 2~c! that the energy barriers along the c direction is,3,Methods,NONE,NONE,NONE,NONE,NONE
Article 00.pdf,3,FIG. 3. ~Color online! The evolution of the diffusion trajectory,4,Methods,NONE,NONE,NONE,NONE,NONE
Article 00.pdf,4,Figure 4 displays the mean square displacements ~MSD!,4,Methods,NONE,MSD_Mentioned,NONE,NONE,NONE
Article 00.pdf,4,FIG. 4. ~Color online! Mean square displacements of the four,4,Methods,NONE,NONE,NONE,NONE,NONE
Article 10.pdf,1,"Fig. 1   AI is applied in two aspects of solid-state batteries, material screening and performance evaluation. Solid-State Battery [41]. Copyright",3,Methods,NONE,Method,NONE,NONE,NONE
Article 10.pdf,2,Fig. 2   a Schematic of a battery cell showing the major material components (electrodes and electrolyte) and the key material properties actively,4,Methods,NONE,NONE,NONE,NONE,NONE
Article 10.pdf,3,Fig. 3   a Material analysis diagram combined with machine learning [60]. b The different values of the possible motifs of the lithium layer cor-,6,Methods,NONE,NONE,NONE,NONE,NONE
Article 10.pdf,4,Fig. 4   a Schematic of the amorphous ­LixSi phase diagram constructed using ANN Potential assisted Genetic Algorithm (GA) [62].  Copyright,7,Methods,NONE,NONE,NONE,NONE,NONE
Article 10.pdf,5,Fig. 5   a Schematic diagram of screening solid lithium-ion conductors by unsupervised learning methods [67].  Copyright 2019 Springer,8,Methods,NONE,NONE,NONE,NONE,NONE
Article 10.pdf,6,Fig. 6   a 400 K simulation of the cubic LLZO as shown in the clustering scheme [83].  Copyright 2017 Springer Nature Limited. b According,10,Methods,Li7La3Zr2O12,Crystal_System,NONE,NONE,NONE
Article 10.pdf,7,Fig. 7   a Model structure of backpropagation neural network (BPNN) [84]. b Model training time and test set voltage RMSE under different,14,Results,BPN2,Algorithm,NONE,NONE,NONE
Article 10.pdf,8,"Fig. 8   a Model structure of TDNN [102]. b, c SOC estimation results and SOC errors under SDT [102]. Copyright (2020) MDPI. d Structure",15,Results,HN | H2S,SOC,NONE,NONE,NONE
Speeding up the development of solid state electrolyte by machine learning.pdf,1,"Fig. 1. The four paradigms of science: empirical, theoretical, computational, and data driven. Adapted with the permission from Ref. [23], Copyright 2016, AIP",2,Introduction,NONE,NONE,NONE,NONE,NONE
Speeding up the development of solid state electrolyte by machine learning.pdf,2,Fig. 2. A workflow for constructing ML models.,2,Introduction,NONE,NONE,NONE,NONE,NONE
Speeding up the development of solid state electrolyte by machine learning.pdf,3,"Fig. 3. (A) Ionic conductivity of 72 predicted components at 373 K. [41], Copyright 2013, Wiley Online Library. (B) Computationally observed ionic conductivity in",4,Introduction,NONE,NONE,NONE,NONE,NONE
Speeding up the development of solid state electrolyte by machine learning.pdf,4,Fig. 4. (A) Excerpt from the ternary Li–P–S phase diagram showing reported LPS compositions on and near the Li2S–P2S5 composition line. The materials falling on,5,Introduction,Li2S-P2S5,NONE,NONE,NONE,NONE
Speeding up the development of solid state electrolyte by machine learning.pdf,5,"Fig. 5. (A) Predicted total conductivity as a function of composition. [58], Copyright 2011, American Chemical Society. (B) Total ionic conductivity of the LATP",5,Introduction,NONE,NONE,NONE,NONE,NONE
Speeding up the development of solid state electrolyte by machine learning.pdf,6,"Fig. 6. ELN architecture diagram: summary of programming languages, front-",7,Introduction,NONE,NONE,NONE,NONE,NONE
Speeding up the development of solid state electrolyte by machine learning.pdf,7,Fig. 7. A mind map of ML methods applied to various aspects of SSEs.,9,Introduction,EsS2,NONE,NONE,NONE,NONE
Speeding up the development of solid state electrolyte by machine learning.pdf,8,"Fig. 8. The model of XGBoost used in XPS prediction. Reproduced with the permission from Ref. [83], Copyright 2022, American Chemical Society.",10,Introduction,NONE,Algorithm | Technique,NONE,NONE,XPS
Speeding up the development of solid state electrolyte by machine learning.pdf,9,"Fig. 9. The workflows of (A) active learning and (B) transfer learning in materials science. Reproduced with the permission from Ref. [116], Copyright 2023,",11,Introduction,NONE,NONE,NONE,NONE,NONE
Article 11.pdf,1,"Fig. 1 | Components, interfaces and challenges of solid-state batteries.",2,Abstract,NONE,Method,NONE,NONE,NONE
Article 11.pdf,2,Fig. 2 | Crystal structures and ionic conductivities,4,Abstract,NONE,Software,NONE,NONE,NONE
Article 11.pdf,3,Fig. 3 | Methods and properties in the study of solid electrolytes and,5,Methods,NONE,NONE,NONE,NONE,NONE
Article 11.pdf,4,Fig. 4 | Modelling of ion migration mechanisms,7,Methods,NONE,NONE,NONE,NONE,NONE
Article 11.pdf,5,"Fig. 5 | Modelling of phase formation, stability and decomposition in solid",11,Methods,NONE,NONE,NONE,NONE,NONE
Article 11.pdf,6,Fig. 6 | Modelling of interfaces in solid-,12,Methods,NONE,NONE,NONE,NONE,NONE
Smart Materials Prediction- Applying Machine Learning to Lithium Solid-State Electrolyte.pdf,1,Figure 1. (A) Key steps in building a ML model. The white arrows indicate the data flow; green,3,Introduction,NONE,NONE,NONE,NONE,NONE
Smart Materials Prediction- Applying Machine Learning to Lithium Solid-State Electrolyte.pdf,2,"Figure 2. (A) Overview of the pymatgen library. Text in italics represents names of Python packages,",5,Introduction,NONE,NONE,NONE,NONE,NONE
Smart Materials Prediction- Applying Machine Learning to Lithium Solid-State Electrolyte.pdf,3,Figure 3. Conceive chemoinformatics as a two-part problem: encoding chemical structure as features,7,Introduction,NONE,NONE,NONE,NONE,NONE
Smart Materials Prediction- Applying Machine Learning to Lithium Solid-State Electrolyte.pdf,4,"Figure 4. (A) Diagram of a typical artificial neural network. The black, blue and red circles indicate",11,Introduction,NONE,Algorithm,NONE,NONE,NONE
Smart Materials Prediction- Applying Machine Learning to Lithium Solid-State Electrolyte.pdf,5,Figure 5. Schematics of the unsupervised discovery of solid-state Li-ion conductors. (a) Crystal,12,Introduction,NONE,Software | Method,NONE,NONE,NONE
AI-Driven Rational Design of Solid-State Electrolytes .pdf,1,Figure 1. Crystal structures of 1 × 1 × 2 supercells of (a) Trigonal phase (b) Orthorhombic phase of Li3 YbCl6.,5,Introduction,YbCl6,Crystal_System | Software,NONE,NONE,NONE
AI-Driven Rational Design of Solid-State Electrolytes .pdf,1,Figure 1f. These findings suggest that Li+ ions preferentially localized near nitrogen (N) and fluorine (F) atoms,5,Introduction,NONE,Atmosphere,NONE,NONE,NONE
AI-Driven Rational Design of Solid-State Electrolytes .pdf,2,"Figure 2. (a) Calculated total and partial density of states (TDOS, PDOS) of NaTi2(PO4)3. (b) For band gap",6,Introduction,H2SO | NaTi2(PO4)3,DOS_Mentioned | PDOS_Mentioned,NONE,NONE,NONE
AI-Driven Rational Design of Solid-State Electrolytes .pdf,3,"Figure 3. (a) Li−ion diffusion route in the LGPS involved of 1D, 2D diffusion and Arrhenius plots Dc, Dab along",7,Introduction,Li10Ge(PS6)2,NONE,NONE,NONE,NONE
AI-Driven Rational Design of Solid-State Electrolytes .pdf,4,"Figure 4. (a) Energy diagram, transition state structure, and migration route in the γ−and ꞵ-Li3PS4. The direct hopping",8,Introduction,Li3PS4,NONE,NONE,NONE,NONE
AI-Driven Rational Design of Solid-State Electrolytes .pdf,5,Figure 5a [165]. This model predicted the ionic conductivity with exceptional accuracy for Li- and Na-ion batteries,10,Introduction,NONE,NONE,NONE,NONE,NONE
AI-Driven Rational Design of Solid-State Electrolytes .pdf,5,Figure 5. (a) Comparison of the experimental and predicted ionic conductivities results of four SSE as a function of,11,Introduction,NONE,NONE,NONE,NONE,NONE
AI-Driven Rational Design of Solid-State Electrolytes .pdf,6,Figure 6. (a) Bottom-up diagram created through agglomerative hierarchical clustering approach. The dotted lines,13,Methods,NONE,NONE,NONE,NONE,NONE
AI-Driven Rational Design of Solid-State Electrolytes .pdf,6,"Figure 6c–f. By integrating atom centered symmetry functions as signifiers, HDNNP efficiently captured complex",13,Methods,P(HN)2,NONE,NONE,NONE,NONE
AI-Driven Rational Design of Solid-State Electrolytes .pdf,7,Figure 7. (a) Accuracy of the ideal class (left−side y−axis) labelled as stars and F1 on the (right−side y−axis),15,Methods,NONE,Accuracy,NONE,NONE,NONE
AI-Driven Rational Design of Solid-State Electrolytes .pdf,8,Figure 8. (a) Geometrical representation of Li4P2O7 unit cell as SSE candidate. (b) Multigraph identifies the edges,16,Methods,Li4P2O7,NONE,NONE,NONE,NONE
Article 1.pdf,1,"Fig. 1. In order to train the unsupervised model, a quantitative",2,Results,NONE,NONE,NONE,NONE,NONE
Article 1.pdf,1,"Fig. 1 Schematics of the unsupervised discovery of solid-state Li-ion conductors. a Crystal structures of known SSLCs, showing a large diversity of structure",3,Results,NONE,Software | Method,NONE,NONE,NONE
Article 1.pdf,2,Fig. 2 Unsupervised clustering of all Li-containing compounds. a Bottom-up tree diagram (dendrogram) generated using the agglomerative hierarchical,4,Supplementary,NONE,NONE,NONE,NONE,NONE
Article 1.pdf,3,Fig. 3 Ion conducting properties of newly predicted versus known solid-,5,Discussion,NONE,NONE,NONE,NONE,NONE
Article 1.pdf,14,Fig. 14. Figure 3 plots the predicted σRT and activation energy,5,Supplementary,NONE,NONE,NONE,NONE,NONE
OBELiX- A Curated Dataset of Crystal Structures and Experimentally Measured Ionic Conductivities for Lithium Solid-State Electrolytes.pdf,1,Figure 1: Examples of solid state electrolyte mate-,4,Introduction,NONE,Method,NONE,NONE,NONE
