paper_id,equation_type,equation_text,page,section,variables,context_sentence
Article 00.pdf,MSD/Diffusion,Figure 4 displays the mean square displacements ~MSD!,4,Methods,MSD,Figure 4 displays the mean square displacements ~MSD!
Article 11.pdf,NEB,"For solid electrolytes, DFT simulations are regularly used to calculate, for example, the barriers for Li-ion and Na-ion hopping (via the nudged elastic band method), den- sity of states, bandgaps, electronic conductivities, defect and polaron formation, stability and mechanical performance79–84.",5,Methods,DFT | are | Li | ion | Na | via | den,"For solid electrolytes, DFT simulations are regularly used to calculate, for example, the barriers for Li-ion and Na-ion hopping (via the nudged elastic band method), den- sity of states, bandgaps, electronic conductivities, defect and polaron formation, stability and mechanical performance79–84."
Article 11.pdf,Unclassified,Ef = −0.97 J cm−2,12,Methods,Ef | J | cm,Ef = −0.97 J cm−2
Article 11.pdf,Unclassified,Ef = −1.47 J cm−2,12,Methods,Ef | J | cm,Ef = −1.47 J cm−2
Article 11.pdf,Unclassified,Ef = −1.82 J cm−2,12,Methods,Ef | J | cm,Ef = −1.82 J cm−2
AI-Driven Rational Design of Solid-State Electrolytes .pdf,NEB,"For instance, geometrical optimization governs the stability window, the electronic properties such as band nature and charge mobility evaluated by single-point energy calculations; while the ionic diffusion with considerable reaction pathways is described by Climbing Image Nudged Elastic Band (CI-NEB)",3,Introduction,as | by | CI | NEB,"For instance, geometrical optimization governs the stability window, the electronic properties such as band nature and charge mobility evaluated by single-point energy calculations; while the ionic diffusion with considerable reaction pathways is described by Climbing Image Nudged Elastic Band (CI-NEB)"
AI-Driven Rational Design of Solid-State Electrolytes .pdf,MSD/Diffusion,The generally implemented canonical (NVT) and isothermal-isobaric (NPT) ensembles are employed to extract the mean square displacement (MSD) of mobile ions from trajectories and reproduce operational battery environments.,4,Introduction,NVT | NPT | are | MSD,The generally implemented canonical (NVT) and isothermal-isobaric (NPT) ensembles are employed to extract the mean square displacement (MSD) of mobile ions from trajectories and reproduce operational battery environments.
AI-Driven Rational Design of Solid-State Electrolytes .pdf,Nernst-Einstein,"Subsequently, researchers computed ionic diffusion coefficients and ionic conductivity using Nernst-Einstein equation",4,Introduction,NONE,"Subsequently, researchers computed ionic diffusion coefficients and ionic conductivity using Nernst-Einstein equation"
AI-Driven Rational Design of Solid-State Electrolytes .pdf,Arrhenius,"Figure 3. (a) Li−ion diffusion route in the LGPS involved of 1D, 2D diffusion and Arrhenius plots Dc, Dab along",7,Introduction,a | Li | ion | Dc | Dab,"Figure 3. (a) Li−ion diffusion route in the LGPS involved of 1D, 2D diffusion and Arrhenius plots Dc, Dab along"
Article 2.pdf,MSD/Diffusion,We first evaluate the mean squared displacement (MSD) of the Li atoms ⟨Δr2⟩over time (starting at t = 0) and apply the following formula: 2 ⟨,2,Introduction,MSD | Li | t,We first evaluate the mean squared displacement (MSD) of the Li atoms ⟨Δr2⟩over time (starting at t = 0) and apply the following formula: 2 ⟨
Article 2.pdf,Arrhenius,"If materials exhibit Li diffusion at 900 K, they are simulated again at alternate temperatures so a simple two- or three-point Arrhenius extrapolation to room temperature can be made.",3,Introduction,If | Li | K | are | so | a | two | can,"If materials exhibit Li diffusion at 900 K, they are simulated again at alternate temperatures so a simple two- or three-point Arrhenius extrapolation to room temperature can be made."
Article 2.pdf,Einstein Relation,"Mater. 2019, 31, 342−352 344 From the diffusivity ⟨Dii⟩, we convert to the average of the diagonal elements of the ionic conductivity tensor ⟨σii⟩via the Einstein relation:12 2 σ ⟨⟩",3,Introduction,Dii | σii | via | σ,"Mater. 2019, 31, 342−352 344 From the diffusivity ⟨Dii⟩, we convert to the average of the diagonal elements of the ionic conductivity tensor ⟨σii⟩via the Einstein relation:12 2 σ ⟨⟩"
Article 2.pdf,Unclassified,= ⟨,3,Introduction,NONE,= ⟨
Article 2.pdf,Unclassified,"Bromide Li3MBr6 (M = SmLu, Y): Synthese, Kristallstruktur,",11,Supplementary,M | Sm | Lu | Y,"Bromide Li3MBr6 (M = SmLu, Y): Synthese, Kristallstruktur,"
