paper_id,step_order,stage,evidence_sentence,page,section
Article 00.pdf,1,Supercell Construction,"PHYSICAL REVIEW B 69, 104303 ~2004! First-principles study of Li ion diffusion in LiFePO4 Chuying Ouyang,1,2 Siqi Shi,1 Zhaoxiang Wang,1 Xuejie Huang,1 and Liquan Chen1,* 1Laboratory for Solid State I",1,Metadata/Header
Article 00.pdf,2,AIMD,"PHYSICAL REVIEW B 69, 104303 ~2004! First-principles study of Li ion diffusion in LiFePO4 Chuying Ouyang,1,2 Siqi Shi,1 Zhaoxiang Wang,1 Xuejie Huang,1 and Liquan Chen1,* 1Laboratory for Solid State I",1,Metadata/Header
Article 00.pdf,3,Diffusion Analysis,"PHYSICAL REVIEW B 69, 104303 ~2004! First-principles study of Li ion diffusion in LiFePO4 Chuying Ouyang,1,2 Siqi Shi,1 Zhaoxiang Wang,1 Xuejie Huang,1 and Liquan Chen1,* 1Laboratory for Solid State I",1,Metadata/Header
Article 00.pdf,4,Conductivity Extraction,"PHYSICAL REVIEW B 69, 104303 ~2004! First-principles study of Li ion diffusion in LiFePO4 Chuying Ouyang,1,2 Siqi Shi,1 Zhaoxiang Wang,1 Xuejie Huang,1 and Liquan Chen1,* 1Laboratory for Solid State I",1,Metadata/Header
Article 00.pdf,5,MSD Analysis,Figure 4 displays the mean square displacements ~MSD!,4,Methods
Article 10.pdf,1,Machine Learning,"REVIEW Artificial Intelligence Empowers Solid‐State Batteries for Material Screening and Performance Evaluation Cite as Nano-Micro Lett. (2025) 17:287 Sheng Wang1,3 *, Jincheng Liu1, Xiaopan Song2 *, ",1,Metadata/Header
Article 10.pdf,2,Conductivity Extraction,"Nano-Micro Lett. (2025) 17:287 287  Page 4 of 31 the electrodes, voltage and specific charge capacity play a decisive role in determining the total energy density of the battery. The electrolyte can b",4,Methods
Article 10.pdf,3,Structure Retrieval,under research [43]. Copyright (2023) The Royal Society of Chemistry. b Crystal structure diagram of spinel ­LiX2O4 and layered ­LiXO2 and cathode volume change predicted by PLS model and ab initio ca,4,Methods
Speeding up the development of solid state electrolyte by machine learning.pdf,1,Conductivity Extraction,Next Energy 5 (2024) 100159 Contents lists available at ScienceDirect Next Energy journal homepage: www.sciencedirect.com/journal/next-energy Speeding up the development of solid state electrolyte by ,1,Metadata/Header
Speeding up the development of solid state electrolyte by machine learning.pdf,2,Machine Learning,Next Energy 5 (2024) 100159 Contents lists available at ScienceDirect Next Energy journal homepage: www.sciencedirect.com/journal/next-energy Speeding up the development of solid state electrolyte by ,1,Metadata/Header
Speeding up the development of solid state electrolyte by machine learning.pdf,3,Structure Retrieval,"Q. Hu, K. Chen, J. Li et al. Next Energy 5 (2024) 100159 theoretical calculation data still dominate datasets in the short term. This has greatly advanced the application of ML in materials science, a",3,Introduction
Speeding up the development of solid state electrolyte by machine learning.pdf,4,AIMD,"Q. Hu, K. Chen, J. Li et al. Next Energy 5 (2024) 100159 theoretical calculation data still dominate datasets in the short term. This has greatly advanced the application of ML in materials science, a",3,Introduction
Speeding up the development of solid state electrolyte by machine learning.pdf,5,Experimental Validation,"Q. Hu, K. Chen, J. Li et al. Next Energy 5 (2024) 100159 teams can collectively tackle challenges in data collection, model de­ velopment, and experimental validation, making the application of ML",12,Conclusion
Article 11.pdf,1,Machine Learning,"nature reviews materials Review article Check for updates Understanding solid-state battery electrolytes using atomistic modelling and machine learning Ana C. C. Dutra 1, Benedek A. Goldmann2, M. Saif",1,Metadata/Header
Article 11.pdf,2,Conductivity Extraction,"Review article Introduction Energy storage has evolved into a priority area within global research, with governments and industry investing heavily to achieve net zero targets. The lithium-ion battery",2,Abstract
Article 11.pdf,3,AIMD,"Review article to maintaining ion diffusion between the electrodes and electrolyte. In fact, the use of a small fraction of liquid additive — that is, forming a hybrid solid-state battery — has been p",3,Abstract
Smart Materials Prediction- Applying Machine Learning to Lithium Solid-State Electrolyte.pdf,1,Machine Learning,"materials Review Smart Materials Prediction: Applying Machine Learning to Lithium Solid-State Electrolyte Qianyu Hu 1 , Kunfeng Chen 1,* , Fei Liu 2, Mengying Zhao 1, Feng Liang 3 and Dongfeng Xue 4,*",1,Metadata/Header
Smart Materials Prediction- Applying Machine Learning to Lithium Solid-State Electrolyte.pdf,2,Conductivity Extraction,"Materials 2022, 15, 1157 2 of 16 whose properties are calculated by approximating the Schrödinger equation to solve the linear computation, for example, Wang et al. predicted new materials with reduct",2,Introduction
Smart Materials Prediction- Applying Machine Learning to Lithium Solid-State Electrolyte.pdf,3,Structure Retrieval,"Materials 2022, 15, 1157 4 of 16 2. Data Sets Data sets are the most fundamental resource for driving ML models and extracting knowledge [9]. Because data sets, also called “big data”, are too much an",4,Introduction
